Year,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,total number 
2001,Alabama,4468912,19582,379,1369,0,5584,12250,173253,40642,119992,12619,385670
2001, Alaska,633630,3735,39,501,0,514,2681,23160,3847,16695,2618,26895
2001,Arizona,5306966,28675,400,1518,0,8868,17889,293874,54821,186850,52203,322549
2001,Arkansas,2694698,12190,148,892,0,2181,8969,99106,22196,69590,7320,111296
2001,California,34600463,212867,2206,9960,0,64614,136087,1134189,232273,697739,204177,1347056
2001, Colorado,4430989,15492,158,1930,0,3555,9849,170887,28533,121360,20994,186379
2001,Connecticut,3434602,11492,105,639,0,4183,6565,95299,17159,65762,12378,106791
2001,Delaware,796599,4868,23,420,0,1156,3269,27399,5144,19476,2779,32267
2001,Florida,16373330,130713,874,6641,0,32867,90331,782517,176052,516548,89917,913230
2001,Georgia,8405677,41671,598,2180,0,14402,24491,347872,71799,238484,37589,389543
2001,Hawaii,1227024,3117,32,409,0,1142,1534,62830,11162,44925,6743,65947
2001,Idaho,1320585,3211,30,425,0,245,2511,38181,7507,28285,2389,41392
2001,Illinois,12520227,79270,982,4010,0,24931,49347,434648,79158,306757,48733,513918
2001,Indiana,6126743,22734,413,1716,0,7171,13434,211548,42758,147291,21499,234282
2001,Iowa,2931967,7865,50,649,0,1154,6012,88634,16885,66244,5505,96499
2001,Kansas,2702125,10909,92,945,0,2423,7449,105537,20514,77038,7985,116446
2001,Kentucky,4068816,10510,181,1051,0,3269,6009,107356,26964,71448,8944,117866
2001,Louisiana,4470368,30678,501,1403,0,7864,20910,207693,46451,139555,21687,238371
2001,Maine,1284470,1435,19,326,0,264,826,33154,6898,24585,1671,34589
2001,Maryland,5386079,42088,446,1449,0,13525,26668,219512,41553,145934,32025,261600
2001,Massachusetts,6401164,30585,143,1856,0,6476,22110,167079,32430,106821,27828,197664
2001,Michigan,10006266,55424,672,5264,0,12937,36551,352353,72038,226708,53607,407777
2001,Minnesota,4984535,13145,119,2236,0,3758,7032,165046,25496,124519,15031,178191
2001,Mississippi,2859733,10006,282,1147,0,3294,5283,109609,29821,70315,9473,119615
2001,Missouri,5637309,30472,372,1383,0,7771,20946,238411,42977,167420,28014,268883
2001,Montana,905382,3187,34,188,0,230,2735,30175,3670,24684,1821,33362
2001,Nebraska,1720039,5214,43,431,0,1128,3612,68963,9760,52713,6490,74177
2001,Nevada,2097722,12359,180,883,0,4932,6364,77486,17711,45073,14702,89845
2001,New Hampshire,1259359,2144,17,458,0,445,1224,27089,4889,20060,2140,29233
2001,New Jersey,8511116,33094,336,1278,0,14110,17370,240551,46812,156031,37708,273645
2001,New Mexico,1830935,14288,99,850,0,2695,10644,83095,19552,56406,7137,97383
2001,New York,19084350,98022,960,3546,0,36555,56961,458003,80400,329316,48287,556025
2001,North Carolina,8206105,40465,505,2083,0,13304,24573,363777,101889,237241,24647,404242
2001,North Dakota,636550,505,7,164,0,60,274,14834,2165,11583,1086,15339
2001,Ohio,11389785,40023,452,4466,0,17199,17906,435115,96910,295976,42229,475138
2001,Oklahoma,3469577,17726,185,1486,0,2746,13309,141679,34573,94537,12569,159405
2001,Oregon,3473441,10650,84,1174,0,2749,6643,164524,26648,123034,14842,175174
2001,Pennsylvania,12303104,50432,651,3467,0,17500,28814,313408,54345,223350,35713,363840
2001,Rhode Island,1059659,3278,39,416,0,986,1837,35742,6824,23875,5043,39020
2001,South Carolina,4062125,33114,330,1769,0,5987,25028,186054,42611,126742,16701,219168
2001,South Dakota,758324,1171,7,351,0,103,710,16473,3087,12571,815,17644
2001,Tennessee,5749398,42776,423,2196,0,10219,29938,252992,59705,165015,28272,295768
2001,Texas,21370983,122155,1332,8169,0,35348,77306,976654,204362,669625,102667,1098809
2001,Utah,2278712,5314,67,896,0,1197,3154,90993,13804,70676,6513,96307
2001,Vermont,612978,644,7,107,0,107,423,16334,3150,12426,758,16978
2001,Virginia,7196750,20939,364,1770,0,6860,11945,207506,31604,157060,18842,228445
2001,Washington,5993390,21258,179,2600,0,5934,12545,287234,53024,195133,39077,308492
2001,West Virginia,1800975,5035,40,320,0,707,3968,41085,9601,28268,3216,46120
2001,Wisconsin,5405947,12486,192,1142,0,4444,6708,166924,26927,125275,14722,179410
2001,Wyoming,493754,1272,9,153,0,84,1026,16120,2481,12943,696,17392
2002,Alabama,4478896,19931,303,1664,0,5962,12002,180400,42578,123932,13890,400662
2002, Alaska,641482,3627,33,511,0,489,2594,24118,3908,17739,2471,27745
2002,Arizona,5441125,30171,387,1608,0,8000,20176,318296,59087,201541,57668,348467
2002,Arkansas,2706268,11501,142,754,0,2524,8081,101171,23229,71129,6813,112672
2002,California,35001986,208388,2395,10198,0,64968,130827,1176484,238428,715692,222364,1384872
2002, Colorado,4501051,15882,179,2066,0,3579,10058,180054,31678,125193,23183,195936
2002,Connecticut,3458587,10807,84,740,0,4069,5914,93426,17111,64735,11580,104233
2002,Delaware,805945,4836,26,358,0,1154,3298,26967,5355,18555,3057,31803
2002,Florida,16691701,128721,911,6753,0,32581,88476,777236,177242,511478,88516,905957
2002,Georgia,8544005,39271,606,2108,0,13432,23125,346559,73932,234591,38036,385830
2002,Hawaii,1240663,3262,24,372,0,1210,1656,71976,12722,49344,9910,75238
2002,Idaho,1343124,3419,36,497,0,240,2646,39128,7441,29060,2627,42547
2002,Illinois,12586447,75759,961,4370,0,25314,45114,430479,81440,304227,44812,506238
2002,Indiana,6156913,22001,362,1843,0,6612,13184,208965,42605,146073,20287,230966
2002,Iowa,2935840,8388,44,797,0,1169,6378,92877,18643,68411,5823,101265
2002,Kansas,2711769,10229,78,1035,0,2165,6951,100768,19679,73877,7212,110997
2002,Kentucky,4089822,11101,191,1087,0,3131,6692,108590,26891,72378,9321,119691
2002,Louisiana,4476192,29690,593,1529,0,7123,20445,198838,45350,133302,20186,228528
2002,Maine,1294894,1396,14,377,0,270,735,32985,6965,24591,1429,34381
2002,Maryland,5450525,42015,513,1370,0,13417,26715,217105,39765,143320,34020,259120
2002,Massachusetts,6421800,31137,173,1777,0,7169,22018,167753,33243,107922,26588,198890
2002,Michigan,10043221,54306,678,5364,0,11847,36417,335060,70970,214367,49723,389366
2002,Minnesota,5024791,13428,112,2273,0,3937,7106,164026,28034,122150,13842,177454
2002,Mississippi,2866733,9858,264,1127,0,3356,5111,109584,29593,70468,9523,119442
2002,Missouri,5669544,30557,331,1465,0,7024,21737,230520,42721,159921,27878,261077
2002,Montana,910372,3197,16,237,0,283,2661,28751,3289,23679,1783,31948
2002,Nebraska,1727564,5428,48,464,0,1359,3557,68178,10329,51440,6409,73606
2002,Nevada,2167455,13856,181,928,0,5118,7629,83896,18951,47459,17486,97752
2002,New Hampshire,1274405,2056,12,446,0,413,1185,26250,4838,19468,1944,28306
2002,New Jersey,8575252,32252,339,1365,0,13955,16593,227715,43899,148061,35755,259967
2002,New Mexico,1852044,13719,152,1027,0,2206,10334,80477,19634,53406,7437,94196
2002,New York,19134293,95030,909,3885,0,36653,53583,442091,76700,318025,47366,537121
2002,North Carolina,8305820,39118,548,2196,0,12205,24169,353708,99535,229307,24866,392826
2002,North Dakota,633911,496,5,163,0,58,270,14762,2243,11501,1018,15258
2002,Ohio,11408699,40128,526,4809,0,17871,16922,428976,99164,287045,42767,469104
2002,Oklahoma,3489700,17587,163,1573,0,2966,12885,148128,35171,100185,12772,165715
2002,Oregon,3520355,10298,72,1238,0,2742,6246,161145,25696,118925,16524,171443
2002,Pennsylvania,12328827,49578,624,3731,0,17163,28060,300868,55610,212441,32817,350446
2002,Rhode Island,1068326,3051,41,395,0,916,1699,35342,6415,24051,4876,38393
2002,South Carolina,4103770,33761,298,1959,0,5774,25730,183808,43745,123196,16867,217569
2002,South Dakota,760437,1350,11,361,0,117,861,15992,3034,12139,819,17342
2002,Tennessee,5789796,41562,420,2290,0,9413,29439,249399,61248,161610,26541,290961
2002,Texas,21736925,126018,1302,8508,0,37580,78628,1004274,212602,688992,102680,1130292
2002,Utah,2318789,5488,47,943,0,1140,3358,97641,15124,74795,7722,103129
2002,Vermont,616408,658,13,126,0,77,442,14942,3489,10684,769,15600
2002,Virginia,7287829,21256,388,1839,0,6961,12068,207783,31757,157548,18478,229039
2002,Washington,6067060,20964,184,2734,0,5797,12249,288967,54948,193526,40493,309931
2002,West Virginia,1804884,4221,57,328,0,657,3179,41099,9677,27524,3898,45320
2002,Wisconsin,5439692,12238,154,1237,0,4713,6134,164749,27926,123365,13458,176987
2002,Wyoming,498830,1364,15,148,0,93,1108,16494,2448,13303,743,17858
2003,Alabama,4503726,19331,299,1656,0,6038,11338,182241,43245,124039,14957,403144
2003, Alaska,648280,3877,39,605,0,446,2787,24386,3874,18051,2461,28263
2003,Arizona,5579222,28638,441,1856,0,7619,18722,314335,58613,198725,56997,342973
2003,Arkansas,2727774,12449,180,911,0,2227,9131,99084,25016,68061,6007,111533
2003,California,35462712,205551,2407,9994,0,63770,129380,1215086,242274,731486,241326,1420637
2003, Colorado,4547633,15757,185,1913,0,3738,9921,179706,32394,124496,22816,195463
2003,Connecticut,3486960,11045,112,698,0,4212,6023,92981,16043,65568,11370,104026
2003,Delaware,818166,5525,21,370,0,1441,3693,27943,6066,18933,2944,33468
2003,Florida,16999181,124280,924,6727,0,31523,85106,757696,170644,505489,81563,881976
2003,Georgia,8676460,39435,657,2234,0,14043,22501,369589,79001,247196,43392,409024
2003,Hawaii,1248755,3400,22,367,0,1168,1843,65867,11409,44807,9651,69267
2003,Idaho,1367034,3362,26,535,0,245,2556,40042,7837,29559,2646,43404
2003,Illinois,12649087,70376,895,4189,0,23786,41506,415885,78345,295907,41633,486261
2003,Indiana,6199571,21842,338,1720,0,6401,13383,208039,41582,145686,20771,229881
2003,Iowa,2941976,8175,50,796,0,1131,6198,87554,17515,64400,5639,95729
2003,Kansas,2724786,10831,125,1085,0,2247,7374,109276,21973,79471,7832,120107
2003,Kentucky,4118189,10232,181,1124,0,3224,5703,103370,26034,69083,8253,113602
2003,Louisiana,4493665,28622,584,1601,0,7008,19429,193698,44572,129471,19655,222320
2003,Maine,1309205,1422,16,354,0,289,763,32078,6579,24043,1456,33500
2003,Maryland,5512310,38778,525,1358,0,13302,23593,209418,38641,134372,36405,248196
2003,Massachusetts,6420357,30377,140,1848,0,8011,20378,164543,34963,104069,25511,194920
2003,Michigan,10082364,51550,612,5470,0,11254,34214,330565,68316,208538,53711,382115
2003,Minnesota,5064172,13316,127,2092,0,3906,7191,157663,27698,116216,13749,170979
2003,Mississippi,2882594,9336,267,1079,0,3016,4974,106867,29564,68307,8996,116203
2003,Missouri,5719204,28067,289,1400,0,6686,19692,233564,41997,161616,29951,261631
2003,Montana,918157,3351,30,246,0,298,2777,28428,3722,22800,1906,31779
2003,Nebraska,1737475,5105,56,504,0,1165,3380,65189,10133,48924,6132,70294
2003,Nevada,2242207,13813,197,871,0,5225,7520,96128,21958,53321,20849,109941
2003,New Hampshire,1288705,1937,17,438,0,480,1002,26456,4589,19934,1933,28393
2003,New Jersey,8642412,31488,406,1288,0,13342,16452,220350,43457,142287,34606,251838
2003,New Mexico,1878562,12535,116,940,0,1937,9542,76816,18997,50595,7224,89351
2003,New York,19212425,89486,934,3775,0,35790,48987,432079,75453,311422,45204,521565
2003,North Carolina,8421190,38243,506,2139,0,12229,23369,359660,100687,232081,26892,397903
2003,North Dakota,633400,508,9,160,0,53,286,13364,1959,10327,1078,13872
2003,Ohio,11437680,38185,526,4660,0,16895,16104,417483,95083,281383,41017,455668
2003,Oklahoma,3506469,17758,206,1501,0,3224,12827,151208,34846,103404,12958,168966
2003,Oregon,3564330,10506,68,1218,0,2847,6373,169863,28562,122327,18974,180369
2003,Pennsylvania,12370761,49210,647,3556,0,17980,27027,300639,53918,213279,33442,349849
2003,Rhode Island,1076084,3074,25,505,0,830,1714,32231,5524,22320,4387,35305
2003,South Carolina,4148744,33455,303,1952,0,5801,25399,187592,43993,127809,15790,221047
2003,South Dakota,764905,1329,10,356,0,104,859,15324,2878,11572,874,16653
2003,Tennessee,5845208,40409,396,2129,0,9413,28471,256565,63323,166769,26473,296974
2003,Texas,22103374,122246,1422,8025,0,37017,75782,1016735,219877,698644,98214,1138981
2003,Utah,2352119,5889,60,919,0,1258,3652,100084,16961,75321,7802,105973
2003,Vermont,619343,707,15,126,0,62,504,13803,3017,10132,654,14510
2003,Virginia,7365284,20490,416,1807,0,6713,11554,200449,29105,153367,17977,220939
2003,Washington,6131298,21272,182,2863,0,5718,12509,291542,58271,192653,40618,312814
2003,West Virginia,1811440,4627,73,311,0,701,3542,42370,10498,28409,3463,46997
2003,Wisconsin,5474290,12104,183,1202,0,4397,6322,157684,26546,118775,12363,169788
2003,Wyoming,502111,1314,14,136,0,84,1080,16648,2611,13239,798,17962
2004,Alabama,4525375,19324,254,1742,0,6042,11286,182340,44666,123650,14024,403328
2004, Alaska,657755,4159,37,558,0,447,3117,22172,3773,16159,2240,26331
2004,Arizona,5739879,28952,414,1896,0,7721,18921,291203,56885,179012,55306,320155
2004,Arkansas,2750000,13814,176,1183,0,2372,10083,110911,30151,74242,6518,124725
2004,California,35842038,189175,2392,9615,0,61768,115400,1227194,245903,728687,252604,1416369
2004, Colorado,4601821,17121,201,1945,0,3739,11236,180322,33010,123308,24004,197443
2004,Connecticut,3498966,10113,100,755,0,4188,5070,93942,15959,66770,11213,104055
2004,Delaware,830069,5105,28,357,0,1343,3377,27256,5669,19285,2302,32361
2004,Florida,17385430,123754,946,6612,0,29997,86199,727141,166332,482484,78325,850895
2004,Georgia,8918129,40217,613,2387,0,13656,23561,376656,82992,249426,44238,416873
2004,Hawaii,1262124,3213,33,333,0,944,1903,60525,10827,41078,8620,63738
2004,Idaho,1395140,3452,31,594,0,241,2586,38799,7671,28389,2739,42251
2004,Illinois,12712016,69365,780,4220,0,22582,41783,403486,76088,287025,40373,472851
2004,Indiana,6226537,20294,316,1803,0,6373,11802,211929,42168,148670,21091,232223
2004,Iowa,2952904,8499,44,782,0,1160,6513,85775,17928,62214,5633,94274
2004,Kansas,2733697,10330,122,1142,0,1812,7254,109771,20146,81115,8510,120101
2004,Kentucky,4141835,10152,236,1238,0,3268,5410,105209,25902,70535,8772,115361
2004,Louisiana,4506685,28844,574,1616,0,6564,20090,199153,45359,134080,19714,227997
2004,Maine,1314985,1364,18,315,0,289,742,31740,6341,24096,1303,33104
2004,Maryland,5561332,38961,521,1317,0,12772,24351,202474,36704,129888,35882,241435
2004,Massachusetts,6407382,29489,171,1794,0,7484,20040,158150,34497,101605,22048,187639
2004,Michigan,10104206,49737,643,5482,0,11336,32276,309805,64233,194988,50584,359542
2004,Minnesota,5096546,13751,113,2123,0,4070,7445,155019,28048,113453,13518,168770
2004,Mississippi,2900768,8568,227,1161,0,2503,4677,100980,27661,65440,7879,109548
2004,Missouri,5759532,28226,354,1479,0,6630,19763,224629,40472,158264,25893,252855
2004,Montana,926920,2723,30,273,0,233,2187,27215,3515,22082,1618,29938
2004,Nebraska,1747704,5393,40,620,0,1138,3595,61512,9826,46399,5287,66905
2004,Nevada,2332898,14379,172,954,0,4905,8348,98215,23142,52438,22635,112594
2004,New Hampshire,1299169,2202,17,466,0,500,1219,26658,4979,19723,1956,28860
2004,New Jersey,8685166,30943,392,1331,0,13076,16144,211313,41030,139977,30306,242256
2004,New Mexico,1903006,13081,169,1039,0,2062,9811,79895,19924,52069,7902,92976
2004,New York,19280727,84914,889,3608,0,33506,46911,422734,70696,311036,41002,507648
2004,North Carolina,8540468,38244,532,2339,0,11782,23591,355328,101193,227147,26988,393572
2004,North Dakota,636308,558,8,177,0,43,330,12493,2040,9516,937,13051
2004,Ohio,11450143,38787,506,4744,0,17429,16108,419337,96518,282168,40651,458124
2004,Oklahoma,3523546,17635,186,1557,0,3090,12802,149472,35244,101271,12957,167107
2004,Oregon,3591363,10724,90,1283,0,2751,6600,166475,30072,117868,18535,177199
2004,Pennsylvania,12394471,50998,650,3535,0,18474,28339,299611,54443,214199,30969,350609
2004,Rhode Island,1079916,2673,26,320,0,731,1596,31166,5465,21623,4078,33839
2004,South Carolina,4197892,33160,286,1772,0,5468,25634,190456,43739,130991,15726,223616
2004,South Dakota,770621,1319,17,336,0,112,854,14885,3148,10890,847,16204
2004,Tennessee,5893298,41113,357,2282,0,8863,29611,254991,60386,169828,24777,296104
2004,Texas,22471549,121554,1364,8388,0,35817,75985,1010702,220118,696507,94077,1132256
2004,Utah,2420708,5647,46,967,0,1236,3398,97762,15225,74889,7648,103409
2004,Vermont,621233,713,16,160,0,78,459,14559,3435,10537,587,15272
2004,Virginia,7481332,20608,390,1816,0,6899,11503,200368,28759,154154,17455,220976
2004,Washington,6207046,21330,190,2857,0,5866,12417,300837,60632,196972,43233,322167
2004,West Virginia,1812548,5110,68,346,0,774,3922,46326,10994,31566,3766,51436
2004,Wisconsin,5503533,11548,154,1136,0,4067,6191,146710,23854,111482,11374,158258
2004,Wyoming,505887,1163,11,112,0,67,973,16889,2738,13352,799,18052
2005,Alabama,4548327,19678,374,1564,0,6447,11293,177393,43473,120780,13140,394142
2005, Alaska,663253,4194,32,538,0,537,3087,23975,4131,17249,2595,28169
2005,Arizona,5953007,30478,445,2006,0,8579,19448,287345,56328,176112,54905,317823
2005,Arkansas,2775708,14670,189,1202,0,2532,10747,112914,30118,75510,7286,127584
2005,California,36154147,190178,2503,9392,0,63622,114661,1200531,250521,692467,257543,1390709
2005, Colorado,4663295,18498,173,2026,0,3948,12351,188449,34746,127602,26101,206947
2005,Connecticut,3500701,9542,105,712,0,3933,4792,90270,15245,64416,10609,99812
2005,Delaware,841741,5332,37,377,0,1306,3612,26245,5811,18085,2349,31577
2005,Florida,17768191,125957,883,6592,0,30141,88341,712998,164783,472912,75303,838955
2005,Georgia,9132553,40725,564,2143,0,14041,23977,378534,84463,249594,44477,419259
2005,Hawaii,1273278,3253,24,343,0,1001,1885,61115,9792,42188,9135,64368
2005,Idaho,1429367,3670,35,577,0,266,2792,38556,8066,27606,2884,42226
2005,Illinois,12765427,70496,770,4313,0,23255,42158,394670,77635,277662,39373,465166
2005,Indiana,6266019,20302,356,1856,0,6809,11281,216778,43756,151278,21744,237080
2005,Iowa,2965524,8697,40,847,0,1153,6657,84370,18147,60723,5500,93067
2005,Kansas,2748172,10701,101,1098,0,1795,7707,104588,19028,76222,9338,115289
2005,Kentucky,4172608,11134,190,1421,0,3690,5833,105608,26458,70354,8796,116742
2005,Louisiana,4507331,26889,450,1421,0,5337,19681,166611,39382,112840,14389,193500
2005,Maine,1318220,1483,19,326,0,323,815,31889,6323,24218,1348,33372
2005,Maryland,5589599,39369,552,1266,0,14378,23173,198483,35922,128491,34070,237852
2005,Massachusetts,6433367,29644,178,1751,0,7837,19878,151727,34728,98079,18920,181371
2005,Michigan,10100833,55936,629,5199,0,13348,36760,312892,70527,194090,48275,368828
2005,Minnesota,5126739,15243,115,2258,0,4724,8146,158301,29716,114304,14281,173544
2005,Mississippi,2908496,8131,214,1147,0,2405,4365,95231,26866,60873,7492,103362
2005,Missouri,5797703,30477,402,1625,0,7196,21254,227809,42822,159288,25699,258286
2005,Montana,934737,2634,18,301,0,177,2138,29407,3642,23794,1971,32041
2005,Nebraska,1758163,5052,44,581,0,1040,3387,60348,9408,45359,5581,65400
2005,Nevada,2412301,14654,206,1016,0,4702,8730,102424,23481,52012,26931,117078
2005,New Hampshire,1306819,1761,19,406,0,365,971,24031,4192,18493,1346,25792
2005,New Jersey,8703150,30919,417,1208,0,13215,16079,203391,38980,136728,27683,234310
2005,New Mexico,1925985,12448,144,1041,0,1893,9370,79575,20939,50707,7929,92023
2005,New York,19315721,85839,874,3636,0,35179,46150,405990,68034,302220,35736,491829
